Site;Road width (m);Road verge;Traffic (vehicles/day);Group;Total no. Of flowers;Number of blue marked;Number of red marked;Number of unmarked;Marked with both;Distance to 1A (m);Distance to  1B (m);Side Colour;Insect abundance;Flower abundance
Arlanda;6;SR;829;3A;33;24;1;9;1;24;24,74;A;5;
Arlanda;6;SR;829;2A;31;25;0;6;0;12;13,416;A;5;
Arlanda;6;SR;829;3B;29;2;12;16;1;24,74;24;B;4;
Arlanda;6;SR;829;2B;33;2;15;18;2;13,416;12;B;4;
Arlanda;6;SR;829;2C;30;17;1;12;0;18;12;B;4;
Arlanda;6;SR;829;1C;28;2;1;25;0;30;24;B;4;
Tierp;6;SR;125;3A;28;0;2;26;0;24;24,74;A;0;
Tierp;6;SR;125;2A;33;1;0;32;0;12;13,416;A;0;
Tierp;6;SR;125;3B;32;0;3;29;0;24,74;24;B;1;
Tierp;6;SR;125;2B;22;0;2;20;0;13,416;12;B;1;
Tierp;6;SR;125;2C;31;0;0;31;0;18;12;B;1;
Tierp;6;SR;125;1C;31;0;1;30;0;30;24;B;1;
Hargshamn ;6;SR;1726;3A;32;0;7;25;0;24;24,74;A;1;
Hargshamn ;6;SR;1726;2A;30;14;2;16;2;12;13,416;A;1;
Hargshamn ;6;SR;1726;3B;32;1;8;23;0;24,74;24;B;3;
Hargshamn ;6;SR;1726;2B;29;11;13;10;5;13,416;12;B;3;
Hargshamn ;6;SR;1726;2C;30;1;1;28;0;18;12;B;3;
Hargshamn ;6;SR;1726;1C;30;1;2;28;1;30;24;B;3;
Vänge ;6;SP;562;3A;31;0;14;17;0;24;24,74;A;2;
Vänge ;6;SP;562;2A;26;5;11;12;2;12;13,416;A;2;
Vänge ;6;SP;562;3B;26;1;10;16;1;24,74;24;B;0;
Vänge ;6;SP;562;2B;26;3;12;12;1;13,416;12;B;0;
Vänge ;6;SP;562;2C;29;1;10;19;1;18;12;B;0;
Vänge ;6;SP;562;1C;29;4;3;22;0;30;24;B;0;
Gottröra ;6,4;SP;3718;3A;30;4;1;25;0;25,6;26,39;A;1;
Gottröra ;6,4;SP;3718;2A;28;0;2;26;0;12,8;14,31;A;1;
Gottröra ;6,4;SP;3718;3B;40;1;0;39;0;26,39;25,6;B;0;
Gottröra ;6,4;SP;3718;2B;33;0;1;32;0;14,31;12,8;B;0;
Gottröra ;6,4;SP;3718;2C;32;0;0;32;0;19,2;12,8;B;0;
Gottröra ;6,4;SP;3718;1C;33;0;0;33;0;32;25,6;B;0;
Sigtuna ;6;SR;6300;3A;20;4;10;9;3;24;24,74;A;3;
Sigtuna ;6;SR;6300;2A;24;5;2;19;2;12;13,416;A;3;
Sigtuna ;6;SR;6300;3B;24;5;8;13;2;24,74;24;B;5;
Sigtuna ;6;SR;6300;2B;22;3;16;6;3;13,416;12;B;5;
