Site;Date;Visit;Side;Quadrant no.;Number of flower heads;Species;Notes;Cut;Observer
Sigtuna;04/06/2019;1;N;1;298;Hieracium pilosella;;;J
Sigtuna;04/06/2019;1;N;1;298;Viscaria vulgaris;;;J
Sigtuna;04/06/2019;1;N;1;298;Saxifraga granulata;;;J
Sigtuna;04/06/2019;1;N;1;298;Rumex acetosella;;;J
Sigtuna;04/06/2019;1;N;1;298;Viola arvensis;;;J
Sigtuna;04/06/2019;1;N;2;47;Pilosella officinarum;;;J
Sigtuna;04/06/2019;1;N;2;47;Viola arvensis;;;J
Sigtuna;04/06/2019;1;N;3;444;Viscaria vulgaris;;;J
Sigtuna;04/06/2019;1;N;3;444;Sedum acetosa;;;J
Sigtuna;04/06/2019;1;N;3;444;Rumex acetosella;;;J
Sigtuna;04/06/2019;1;N;3;444;Carum carvi;;;J
Sigtuna;04/06/2019;1;S;4;25;Lotus corniculatus;;;J
Sigtuna;04/06/2019;1;S;4;25;Filipendula vulgaris;;;J
Sigtuna;04/06/2019;1;S;5;0;;;;J
Sigtuna;04/06/2019;1;S;6;142;Hieracium pilosella;;;J
Sigtuna;04/06/2019;1;S;6;142;Viscaria vulgaris;;;J
Sigtuna;04/06/2019;1;S;6;142;Sedum acre;;;J
Häggeby;04/06/2019;1;S;1;239;Viscaria vulgaris;;;J
Häggeby;04/06/2019;1;S;1;239;Potentilla argentea;;;J
Häggeby;04/06/2019;1;S;2;22;Achillea millefolium;;;J
Häggeby;04/06/2019;1;S;2;22;Vicia hirsuta;;;J
Häggeby;04/06/2019;1;S;3;105;Viscaria vulgaris;;;J
Häggeby;04/06/2019;1;N;4;92;Viscaria vulgaris;;;J
Häggeby;04/06/2019;1;N;4;92;Fragaria vesca;;;J
Häggeby;04/06/2019;1;N;4;92;Galium boreale;Inga blommor;;J
Häggeby;04/06/2019;1;N;4;92;Potentilla argentea;Inga blommor;;J
Häggeby;04/06/2019;1;N;4;92;Silene nutans;;;J
Häggeby;04/06/2019;1;N;5;0;;;;J
Häggeby;04/06/2019;1;N;6;65;Acinos arvensis;;;J
Upplands-Väsby;11/06/2019;1;W;1;87;Cicuta virosa;;;J
Upplands-Väsby;11/06/2019;1;W;2;0;;Galium boreale som inte slagit ut.;;J
Upplands-Väsby;11/06/2019;1;W;3;9;Argentina anserina;Achilllea millifolium knopp.;;J
Upplands-Väsby;11/06/2019;1;E;4;13;Ranunculus acris;;;J
Upplands-Väsby;11/06/2019;1;E;4;13;Geranium sylvaticum;;;J
Upplands-Väsby;11/06/2019;1;E;5;230;Lotus corniculatus;;;J
Upplands-Väsby;11/06/2019;1;E;5;230;Ranunculus acris;;;J
Upplands-Väsby;11/06/2019;1;E;6;1;Ranunculus acris;;;J
