Capture date;X;Y;Nr.;Sex;Release date;Site.code;Site;Traffic;Road verge;Direction;Species;Crossed road;Behaviour;Comments
43257;6586016;613290;1;M;43268;HL;Tosterön;H;L;E;C. arcania;0;3;
43257;6585982;613281;2;M;43268;HL;Tosterön;H;L;N;C. arcania;0;2;
43257;6585982;613281;3;M;43268;HL;Tosterön;H;L;N;C. arcania;0;2;
43257;6585982;613281;4;F;43268;HH;Aspö;H;H;N;C. arcania;0;2;
43257;6585487;613319;5;F;43268;HH;Aspö;H;H;W;C. arcania;1;1;
43257;6585487;613319;6;F;43268;HH;Aspö;H;H;W;C. arcania;1;1;
43257;6585487;613319;7;F;43268;HH;Aspö;H;H;W;C. arcania;1;1;
43257;6585487;613319;8;F;43268;HL;Tosterön;H;L;E;C. arcania;0;3;
43257;6585487;613319;9;M;43268;HL;Tosterön;H;L;N;C. arcania;0;2;
43257;6585487;613319;10;F;43268;HH;Aspö;H;H;N;C. arcania;0;2;
43257;6585487;613319;11;M;43268;HH;Aspö;H;H;N;C. arcania;0;2;
43257;6585487;613319;12;M;43268;HL;Tosterön;H;L;E;C. arcania;0;3;
43257;6585487;613319;13;F;43268;HL;Tosterön;H;L;W;C. arcania;1;1;
43257;6585487;613319;14;M;43268;HL;Tosterön;H;L;W;C. arcania;1;1;Dog när korsade
43257;6585487;613319;15;M;43268;HH;Aspö;H;H;W;C. arcania;1;1;
43257;6585487;613319;16;M;43268;HL;Tosterön;H;L;E;C. arcania;0;3;
43257;6585487;613319;17;F;43268;HL;Tosterön;H;L;E;C. arcania;0;3;
43257;6585487;613319;18;M;43268;HH;Aspö;H;H;S;C. arcania;0;2;
43257;6585487;613319;19;F;43268;HH;Aspö;H;H;N;C. arcania;0;2;
43257;6585487;613319;20;M;43267;HH;Aspö;H;H;S;C. arcania;0;2;
43270;6625345;664834;21;M;43271;LL;Åsbergby;L;L;S;C. arcania;0;2;
43270;6625345;664834;22;M;43271;LL;Åsbergby;L;L;E;C. arcania;0;3;
43270;6625345;664834;23;M;43271;LL;Åsbergby;L;L;W;C. arcania;1;1;
43270;6621599;666485;24;F;43271;LH;Veda;L;H;W;C. arcania;0;2;
43270;6621599;666485;25;M;43271;LH;Veda;L;H;W;C. arcania;0;2;
43270;6621599;666485;26;M;43271;LH;Veda;L;H;S;C. arcania;0;3;
43270;6621534;666470;27;F;43271;LH;Veda;L;H;E;C. arcania;0;2;
43275;6621536;666466;28;M;43275;LH;Veda;L;H;E;C. arcania;0;2;
43275;6621536;666466;29;F;43275;LH;Veda;L;H;E;C. arcania;0;2;
43275;6621536;666466;30;F;43275;LH;Veda;L;H;N;C. arcania;1;1;
43275;6621536;666466;31;M;43275;LH;Veda;L;H;N;C. arcania;1;1;
43275;6621313;665399;32;M;43275;LH;Veda;L;H;W;C. arcania;0;2;
43275;6620972;663796;33;F;43275;LH;Veda;L;H;E;C. arcania;0;2;
43275;6625235;664833;34;M;43275;LL;Åsbergby;L;L;W;C. arcania;1;1;
43275;6625517;665710;35;F;43275;LL;Åsbergby;L;L;N;C. arcania;0;2;
43275;6625517;665710;36;F;43275;LL;Åsbergby;L;L;E;C. arcania;0;3;
43275;6625517;665710;37;F;43275;LL;Åsbergby;L;L;N;C. arcania;0;2;
43278;6625517;665711;38;F;43278;HL;Tosterön;H;L;E;C. arcania;0;3;
43278;6625517;665711;39;F;43278;HL;Tosterön;H;L;E;C. arcania;0;3;
43278;6625517;665711;40;M;43278;HL;Tosterön;H;L;S;C. arcania;0;2;
43278;6625517;665711;41;F;43278;HL;Tosterön;H;L;W;C. arcania;1;1;
43278;6625517;665711;42;F;43278;HL;Tosterön;H;L;W;C. arcania;1;1;
43278;6625517;665711;43;M;43278;HL;Tosterön;H;L;N;C. arcania;0;2;
43278;6625517;665711;44;M;43278;HL;Tosterön;H;L;W;C. arcania;1;1;
43278;6620978;663794;45;F;43278;LL;Åsbergby;L;L;S;C. arcania;0;2;
43278;6620978;663794;46;M;43278;LL;Åsbergby;L;L;N;C. arcania;0;2;
43278;6620978;663794;47;M;43278;LL;Åsbergby;L;L;S;C. arcania;0;2;
43278;6620978;663794;48;F;43278;LL;Åsbergby;L;L;W;C. arcania;1;1;
43278;6620978;663794;49;M;43278;LL;Åsbergby;L;L;S;C. arcania;0;2;
43278;6620978;663794;50;F;43278;LL;Åsbergby;L;L;W;C. arcania;1;1;
43278;6620978;663794;51;M;43278;LL;Åsbergby;L;L;S;C. arcania;0;2;
43279;6620978;663794;52;M;43279;HL;Tosterön;H;L;N;C. arcania;0;2;
43279;6620978;663794;53;F;43279;HL;Tosterön;H;L;N;C. arcania;0;2;
43279;6620978;663794;54;F;43279;HL;Tosterön;H;L;E;C. arcania;0;3;
43279;6620978;663794;55;F;43279;HL;Tosterön;H;L;E;C. arcania;0;3;
43279;6620978;663794;56;M;43279;HL;Tosterön;H;L;E;C. arcania;0;3;
43279;6620978;663794;57;M;43279;HL;Tosterön;H;L;W;C. arcania;1;1;
43282;6585461;613324;59;F;43282;HH;Aspö;H;H;S;C. arcania;0;2;
43282;6585461;613324;60;F;43282;HL;Tosterön;H;L;S;C. arcania;0;2;
43282;6585461;613324;61;M;43282;HH;Aspö;H;H;N;C. arcania;0;2;
43282;6585461;613324;62;F;43282;HL;Tosterön;H;L;S;C. arcania;0;2;
43282;6585461;613324;63;F;43282;HL;Tosterön;H;L;W;C. arcania;1;1;
43282;6585461;613324;64;M;43282;HL;Tosterön;H;L;E;C. arcania;0;3;
43282;6585461;613324;65;M;43282;HL;Tosterön;H;L;W;C. arcania;1;1;
43282;6585461;613324;66;M;43282;HL;Tosterön;H;L;W;C. arcania;1;1;
43282;6585461;613324;67;M;43282;HL;Tosterön;H;L;W;C. arcania;1;1;
43282;6585461;613324;68;F;43282;HH;Aspö;H;H;S;C. arcania;0;2;
43282;6585461;613324;69;F;43282;HH;Aspö;H;H;E;C. arcania;0;3;
43282;6585461;613324;70;F;43282;HH;Aspö;H;H;S;C. arcania;0;2;
43282;6585461;613324;71;F;43282;HL;Tosterön;H;L;E;C. arcania;0;3;
43282;6585461;613324;72;F;43282;HL;Tosterön;H;L;N;C. arcania;0;2;
43282;6585461;613324;73;F;43282;HH;Aspö;H;H;E;C. arcania;0;3;
43282;6585461;613324;74;F;43282;HH;Aspö;H;H;E;C. arcania;0;3;
43282;6585461;613324;75;M;43282;HH;Aspö;H;H;S;C. arcania;0;2;
43282;6585461;613324;76;F;43282;HH;Aspö;H;H;S;C. arcania;0;2;
43282;6585461;613324;77;M;43282;HH;Aspö;H;H;N;C. arcania;0;2;
43282;6585461;613324;78;F;43282;HL;Tosterön;H;L;S;C. arcania;0;2;
43283;6601303;613585;79;F;43284;HL;Tosterön;H;L;E;C. arcania;0;3;
43283;6601303;613585;80;M;43284;HH;Aspö;H;H;S;C. arcania;0;2;
43283;6601303;613585;81;F;43284;HH;Aspö;H;H;N;C. arcania;0;2;
43285;6621419;666936;82;M;43285;LH;Veda;L;H;W;C. arcania;0;2;
43285;6621419;666936;83;F;43285;LL;Åsbergby;L;L;E;C. arcania;0;3;
43283;6585461;613324;84;F;43284;HH;Aspö;H;H;N;C. arcania;0;2;
43283;6585461;613324;85;M;43284;HL;Tosterön;H;L;N;C. arcania;0;2;
43283;6585461;613324;86;F;43284;HH;Aspö;H;H;S;C. arcania;0;2;
43283;6585461;613324;87;F;43284;HL;Tosterön;H;L;W;C. arcania;1;1;
43283;6585461;613324;88;F;43284;HL;Tosterön;H;L;W;C. arcania;1;1;
43283;6585461;613324;89;M;43284;HL;Tosterön;H;L;E;C. arcania;0;3;
43283;6585461;613324;90;F;43284;HH;Aspö;H;H;S;C. arcania;0;2;
43283;6585461;613324;91;M;43284;HL;Tosterön;H;L;N;C. arcania;0;2;
43283;6585461;613324;92;F;43284;HH;Aspö;H;H;E;C. arcania;0;3;
43285;6621419;666936;93;F;43285;LH;Veda;L;H;N;C. arcania;1;1;
43285;6621419;666936;94;F;43285;LH;Veda;L;H;W;C. arcania;0;2;
43285;6621419;666936;95;F;43285;LL;Åsbergby;L;L;E;C. arcania;0;3;
43285;6621419;666936;96;M;43285;LH;Veda;L;H;W;C. arcania;0;2;
43285;6621419;666936;97;F;43285;LH;Veda;L;H;W;C. arcania;0;2;
43285;6621419;666936;98;M;43285;LL;Åsbergby;L;L;E;C. arcania;0;3;
43285;6621419;666936;99;F;43285;LL;Åsbergby;L;L;S;C. arcania;0;2;
43285;6621419;666936;100;M;43285;LL;Åsbergby;L;L;E;C. arcania;0;3;
