Site;Side;Colour
Arlanda;W;B
Arlanda;E;R
Aspö;W;R
Aspö;E;B
Björklinge;N;B
Björklinge;S;R
Enköping;E;B
Enköping;W;R
Gottröra;S;B
Gottröra;N;R
Hargshamn;E;R
Hargshamn;W;B
Häggeby;S;B
Häggeby;N;R
Knutby;E;R
Knutby;W;B
Rimbo;N;B
Rimbo;S;R
Rovsättra;W;R
Rovsättra;E;B
Sigtuna;N;B
Sigtuna;S;R
Skogstibble;N;R
Skogstibble;S;B
Skutskär;E;R
Skutskär;W;B
Skärplinge;E;R
Skärplinge;W;B
Strängnäs;E;B
Strängnäs;W;R
Tierp;N;B
Tierp;S;R
Tosterön;W;R
Tosterön;E;B
Upplands-Väsby;W;R
Upplands-Väsby;E;B
Vänge;E;B
Vänge;W;R
Östhammar;W;B
Östhammar;E;R
