"";"Site";"Road.width..m.";"Road.verge";"Traffic.int";"Group";"Side";"trials";"successes";"Same.side";"Direction";"distance";"Group.code";"Insect.abundance";"Flower.abund";"Colour"
"1";"Arlanda";6;"SR";829;"3A";"W";33;24;"Y";"X";24;"A";5;414;"B"
"2";"Arlanda";6;"SR";829;"2A";"W";31;25;"Y";"X";12;"A";5;414;"B"
"3";"Arlanda";6;"SR";829;"3B";"E";29;2;"N";"X";24,74;"B";4;139;"R"
"4";"Arlanda";6;"SR";829;"2B";"E";33;2;"N";"X";13,416;"B";4;139;"R"
"5";"Arlanda";6;"SR";829;"2C";"E";30;17;"N";"Y";18;"C";4;139;"R"
"6";"Arlanda";6;"SR";829;"1C";"E";28;2;"N";"Y";30;"C";4;139;"R"
"7";"Tierp";6;"SR";125;"3A";"N";28;0;"Y";"X";24;"A";0;486;"B"
"8";"Tierp";6;"SR";125;"2A";"N";33;1;"Y";"X";12;"A";0;486;"B"
"9";"Tierp";6;"SR";125;"3B";"S";32;0;"N";"X";24,74;"B";1;936;"R"
"10";"Tierp";6;"SR";125;"2B";"S";22;0;"N";"X";13,416;"B";1;936;"R"
"11";"Tierp";6;"SR";125;"2C";"S";31;0;"N";"Y";18;"C";1;936;"R"
"12";"Tierp";6;"SR";125;"1C";"S";31;0;"N";"Y";30;"C";1;936;"R"
"13";"Hargshamn";6;"SR";1726;"3A";"W";32;0;"Y";"X";24;"A";1;518;"B"
"14";"Hargshamn";6;"SR";1726;"2A";"W";30;14;"Y";"X";12;"A";1;518;"B"
"15";"Hargshamn";6;"SR";1726;"3B";"E";32;1;"N";"X";24,74;"B";3;285;"R"
"16";"Hargshamn";6;"SR";1726;"2B";"E";29;11;"N";"X";13,416;"B";3;285;"R"
"17";"Hargshamn";6;"SR";1726;"2C";"E";30;1;"N";"Y";18;"C";3;285;"R"
"18";"Hargshamn";6;"SR";1726;"1C";"E";30;1;"N";"Y";30;"C";3;285;"R"
"19";"Vänge";6;"SP";562;"3A";"E";31;0;"Y";"X";24;"A";2;534;"B"
"20";"Vänge";6;"SP";562;"2A";"E";26;5;"Y";"X";12;"A";2;534;"B"
"21";"Vänge";6;"SP";562;"3B";"W";26;1;"N";"X";24,74;"B";0;93;"R"
"22";"Vänge";6;"SP";562;"2B";"W";26;3;"N";"X";13,416;"B";0;93;"R"
"23";"Vänge";6;"SP";562;"2C";"W";29;1;"N";"Y";18;"C";0;93;"R"
"24";"Vänge";6;"SP";562;"1C";"W";29;4;"N";"Y";30;"C";0;93;"R"
"25";"Gottröra";6,4;"SP";3718;"3A";"S";30;4;"Y";"X";25,6;"A";1;240;"B"
"26";"Gottröra";6,4;"SP";3718;"2A";"S";28;0;"Y";"X";12,8;"A";1;240;"B"
"27";"Gottröra";6,4;"SP";3718;"3B";"N";40;1;"N";"X";26,39;"B";0;189;"R"
"28";"Gottröra";6,4;"SP";3718;"2B";"N";33;0;"N";"X";14,31;"B";0;189;"R"
"29";"Gottröra";6,4;"SP";3718;"2C";"N";32;0;"N";"Y";19,2;"C";0;189;"R"
"30";"Gottröra";6,4;"SP";3718;"1C";"N";33;0;"N";"Y";32;"C";0;189;"R"
"31";"Sigtuna";6;"SR";6300;"3A";"N";20;4;"Y";"X";24;"A";3;789;"B"
"32";"Sigtuna";6;"SR";6300;"2A";"N";24;5;"Y";"X";12;"A";3;789;"B"
"33";"Sigtuna";6;"SR";6300;"3B";"S";24;5;"N";"X";24,74;"B";5;167;"R"
"34";"Sigtuna";6;"SR";6300;"2B";"S";22;3;"N";"X";13,416;"B";5;167;"R"
"35";"Sigtuna";6;"SR";6300;"2C";"S";25;0;"N";"Y";18;"C";5;167;"R"
"36";"Sigtuna";6;"SR";6300;"1C";"S";24;1;"N";"Y";30;"C";5;167;"R"
"37";"Aspö";6;"SR";5675;"3A";"E";29;0;"Y";"X";24;"A";11;57;"B"
"38";"Aspö";6;"SR";5675;"2A";"E";35;5;"Y";"X";12;"A";11;57;"B"
"39";"Aspö";6;"SR";5675;"3B";"W";32;4;"N";"X";24,74;"B";9;1403;"R"
"40";"Aspö";6;"SR";5675;"2B";"W";27;0;"N";"X";13,416;"B";9;1403;"R"
"41";"Aspö";6;"SR";5675;"2C";"W";26;3;"N";"Y";18;"C";9;1403;"R"
"42";"Aspö";6;"SR";5675;"1C";"W";32;2;"N";"Y";30;"C";9;1403;"R"
"43";"Strängnäs";6;"SP";372;"3A";"E";28;1;"Y";"X";24;"A";18;108;"B"
"44";"Strängnäs";6;"SP";372;"2A";"E";23;6;"Y";"X";12;"A";18;108;"B"
"45";"Strängnäs";6;"SP";372;"3B";"W";26;1;"N";"X";24,74;"B";18;101;"R"
"46";"Strängnäs";6;"SP";372;"2B";"W";25;1;"N";"X";13,416;"B";18;101;"R"
"47";"Strängnäs";6;"SP";372;"2C";"W";25;2;"N";"Y";18;"C";18;101;"R"
"48";"Strängnäs";6;"SP";372;"1C";"W";26;0;"N";"Y";30;"C";18;101;"R"
"49";"Häggeby";6;"SR";3312;"3A";"S";33;1;"Y";"X";24;"A";6;366;"B"
"50";"Häggeby";6;"SR";3312;"2A";"S";52;6;"Y";"X";12;"A";6;366;"B"
"51";"Häggeby";6;"SR";3312;"3B";"N";35;0;"N";"X";24,74;"B";4;157;"R"
"52";"Häggeby";6;"SR";3312;"2B";"N";45;1;"N";"X";13,416;"B";4;157;"R"
"53";"Häggeby";6;"SR";3312;"2C";"N";50;0;"N";"Y";18;"C";4;157;"R"
"54";"Häggeby";6;"SR";3312;"1C";"N";56;0;"N";"Y";30;"C";4;157;"R"
"55";"Skärplinge";6;"SR";570;"3A";"W";32;1;"Y";"X";24;"A";0;926;"B"
"56";"Skärplinge";6;"SR";570;"2A";"W";28;2;"Y";"X";12;"A";0;926;"B"
"57";"Skärplinge";6;"SR";570;"3B";"E";32;2;"N";"X";24,74;"B";1;612;"R"
"58";"Skärplinge";6;"SR";570;"2B";"E";29;2;"N";"X";13,416;"B";1;612;"R"
"59";"Skärplinge";6;"SR";570;"2C";"E";32;2;"N";"Y";18;"C";1;612;"R"
"60";"Skärplinge";6;"SR";570;"1C";"E";34;2;"N";"Y";30;"C";1;612;"R"
"61";"Tosterön";7;"SP";5764;"3A";"E";26;7;"Y";"X";28;"A";3;13;"B"
"62";"Tosterön";7;"SP";5764;"2A";"E";35;15;"Y";"X";14;"A";3;13;"B"
"63";"Tosterön";7;"SP";5764;"3B";"W";28;12;"N";"X";28,86;"B";0;104;"R"
"64";"Tosterön";7;"SP";5764;"2B";"W";30;4;"N";"X";15,652;"B";0;104;"R"
"65";"Tosterön";7;"SP";5764;"2C";"W";30;15;"N";"Y";21;"C";0;104;"R"
"66";"Tosterön";7;"SP";5764;"1C";"W";40;0;"N";"Y";35;"C";0;104;"R"
