Site;Road width (m);Road verge;Traffic.int;Group;Side;Total no. of flowers;Number marked;Same side;Direction;Distance to marked (m);Group code;Insect abundance;Number of flowers;delta.flower;Better side
Arlanda;6;SR;829;3A;W;33;24;Y;X;24;A;5;414;;Y
Arlanda;6;SR;829;2A;W;31;25;Y;X;12;A;5;414;;Y
Arlanda;6;SR;829;3B;E;29;2;N;X;24,74;B;5;139;275;N
Arlanda;6;SR;829;2B;E;33;2;N;X;13,416;B;5;139;275;N
Arlanda;6;SR;829;2C;E;30;17;N;Y;18;C;5;139;;N
Arlanda;6;SR;829;1C;E;28;2;N;Y;30;C;5;139;;N
Tierp;6;SR;125;3A;N;28;0;Y;X;24;A;0;486;;N
Tierp;6;SR;125;2A;N;33;1;Y;X;12;A;0;486;;N
Tierp;6;SR;125;3B;S;32;0;N;X;24,74;B;0;936;-450;Y
Tierp;6;SR;125;2B;S;22;0;N;X;13,416;B;0;936;-450;Y
Tierp;6;SR;125;2C;S;31;0;N;Y;18;C;0;936;;Y
Tierp;6;SR;125;1C;S;31;0;N;Y;30;C;0;936;;Y
Hargshamn;6;SR;1726;3A;W;32;0;Y;X;24;A;1;518;;Y
Hargshamn;6;SR;1726;2A;W;30;14;Y;X;12;A;1;518;;Y
Hargshamn;6;SR;1726;3B;E;32;1;N;X;24,74;B;1;285;233;N
Hargshamn;6;SR;1726;2B;E;29;11;N;X;13,416;B;1;285;233;N
Hargshamn;6;SR;1726;2C;E;30;1;N;Y;18;C;1;285;;N
Hargshamn;6;SR;1726;1C;E;30;1;N;Y;30;C;1;285;;N
Vänge;6;SP;562;3A;E;31;0;Y;X;24;A;2;534;;Y
Vänge;6;SP;562;2A;E;26;5;Y;X;12;A;2;534;;Y
Vänge;6;SP;562;3B;W;26;1;N;X;24,74;B;2;93;441;N
Vänge;6;SP;562;2B;W;26;3;N;X;13,416;B;2;93;441;N
Vänge;6;SP;562;2C;W;29;1;N;Y;18;C;2;93;;N
Vänge;6;SP;562;1C;W;29;4;N;Y;30;C;2;93;;N
Gottröra;6,4;SP;3718;3A;S;30;4;Y;X;25,6;A;1;240;;Y
Gottröra;6,4;SP;3718;2A;S;28;0;Y;X;12,8;A;1;240;;Y
Gottröra;6,4;SP;3718;3B;N;40;1;N;X;26,39;B;1;189;51;N
Gottröra;6,4;SP;3718;2B;N;33;0;N;X;14,31;B;1;189;51;N
Gottröra;6,4;SP;3718;2C;N;32;0;N;Y;19,2;C;1;189;;N
Gottröra;6,4;SP;3718;1C;N;33;0;N;Y;32;C;1;189;;N
Sigtuna;6;SR;6300;3A;N;20;4;Y;X;24;A;3;789;;Y
Sigtuna;6;SR;6300;2A;N;24;5;Y;X;12;A;3;789;;Y
Sigtuna;6;SR;6300;3B;S;24;5;N;X;24,74;B;3;167;622;N
Sigtuna;6;SR;6300;2B;S;22;3;N;X;13,416;B;3;167;622;N
Sigtuna;6;SR;6300;2C;S;25;0;N;Y;18;C;3;167;;N
Sigtuna;6;SR;6300;1C;S;24;1;N;Y;30;C;3;167;;N
Aspö;6;SR;5675;3A;E;29;0;Y;X;24;A;11;57;;N
Aspö;6;SR;5675;2A;E;35;5;Y;X;12;A;11;57;;N
Aspö;6;SR;5675;3B;W;32;4;N;X;24,74;B;11;1403;-1346;Y
Aspö;6;SR;5675;2B;W;27;0;N;X;13,416;B;11;1403;-1346;Y
Aspö;6;SR;5675;2C;W;26;3;N;Y;18;C;11;1403;;Y
Aspö;6;SR;5675;1C;W;32;2;N;Y;30;C;11;1403;;Y
Strängnäs;6;SP;372;3A;E;28;1;Y;X;24;A;18;108;;Y
Strängnäs;6;SP;372;2A;E;23;6;Y;X;12;A;18;108;;Y
Strängnäs;6;SP;372;3B;W;26;1;N;X;24,74;B;18;101;7;N
Strängnäs;6;SP;372;2B;W;25;1;N;X;13,416;B;18;101;7;N
Strängnäs;6;SP;372;2C;W;25;2;N;Y;18;C;18;101;;N
Strängnäs;6;SP;372;1C;W;26;0;N;Y;30;C;18;101;;N
Häggeby;6;SR;3312;3A;S;33;1;Y;X;24;A;6;366;;Y
Häggeby;6;SR;3312;2A;S;52;6;Y;X;12;A;6;366;;Y
Häggeby;6;SR;3312;3B;N;35;0;N;X;24,74;B;6;157;209;N
Häggeby;6;SR;3312;2B;N;45;1;N;X;13,416;B;6;157;209;N
Häggeby;6;SR;3312;2C;N;50;0;N;Y;18;C;6;157;;N
Häggeby;6;SR;3312;1C;N;56;0;N;Y;30;C;6;157;;N
Skärplinge;6;SR;570;3A;W;32;1;Y;X;24;A;0;926;;Y
Skärplinge;6;SR;570;2A;W;28;2;Y;X;12;A;0;926;;Y
Skärplinge;6;SR;570;3B;E;32;2;N;X;24,74;B;0;612;314;N
Skärplinge;6;SR;570;2B;E;29;2;N;X;13,416;B;0;612;314;N
Skärplinge;6;SR;570;2C;E;32;2;N;Y;18;C;0;612;;N
Skärplinge;6;SR;570;1C;E;34;2;N;Y;30;C;0;612;;N
Tosterön;7;SP;5764;3A;E;26;7;Y;X;28;A;3;13;;N
Tosterön;7;SP;5764;2A;E;35;15;Y;X;14;A;3;13;;N
Tosterön;7;SP;5764;3B;W;28;12;N;X;28,86;B;3;104;-91;Y
Tosterön;7;SP;5764;2B;W;30;4;N;X;15,652;B;3;104;-91;Y
Tosterön;7;SP;5764;2C;W;30;15;N;Y;21;C;3;104;;Y
Tosterön;7;SP;5764;1C;W;40;0;N;Y;35;C;3;104;;Y
Skutskär;6;SR;930;3A;W;28;0;Y;X;24;A;2;115;;N
Skutskär;6;SR;930;2A;W;22;4;Y;X;12;A;2;115;;N
